,(none),b,p,m,f,v,d,t,n,l,lh,g,k,ng,h,z/j,c/q,s/x,y
a,a,ba,pa,ma,fa,va,da,ta,na,la,lha,ga,ka,nga,ha,za,ca,sa,ya
ai,ai,bai,pai,mai,fai,vai,dai,tai,nai,lai,lhai,gai,kai,ngai,hai,zai,cai,sai,yai
ao,ao,bao,pao,mao,fao,vao,dao,tao,nao,lao,lhao,gao,kao,ngao,hao,zao,cao,sao,yao
ao,ao,bao,pao,mao,fao,vao,dao,tao,nao,lao,lhao,gao,kao,ngao,hao,zao,cao,sao,yao
am,am,bam,pam,mam,fam,vam,dam,tam,nam,lam,lham,gam,kam,ngam,ham,zam,cam,sam,yam
an,an,ban,pan,man,fan,van,dan,tan,nan,lan,lhan,gan,kan,ngan,han,zan,can,san,yan
ang,ang,bang,pang,mang,fang,vang,dang,tang,nang,lang,lhang,gang,kang,ngang,hang,zang,cang,sang,yang
ab,ab,bab,pab,mab,fab,vab,dab,tab,nab,lab,lhab,gab,kab,ngab,hab,zab,cab,sab,yab
ad,ad,bad,pad,mad,fad,vad,dad,tad,nad,lad,lhad,gad,kad,ngad,had,zad,cad,sad,yad
ag,ag,bag,pag,mag,fag,vag,dag,tag,nag,lag,lhag,gag,kag,ngag,hag,zag,cag,sag,yag
m,m,,,,,,,,,,,,,,,,,,
e,e,be,pe,me,fe,ve,de,te,ne,le,lhe,ge,ke,nge,he,ze,ce,se,ye
ei,ei,bei,pei,mei,fei,vei,dei,tei,nei,lei,lhei,gei,kei,ngei,hei,,,,
eu,eu,beu,peu,meu,feu,veu,deu,teu,neu,leu,lheu,geu,keu,ngeu,heu,zeu,ceu,seu,yeu
em,em,bem,pem,mem,fem,vem,dem,tem,nem,lem,lhem,gem,kem,ngem,hem,zem,cem,sem,yem
en,en,ben,pen,men,fen,ven,den,ten,nen,len,lhen,gen,ken,ngen,hen,zen,cen,sen,yen
en,en,ben,pen,men,fen,ven,den,ten,nen,len,lhen,gen,ken,ngen,hen,zen,cen,sen,yen
eb,eb,beb,peb,meb,feb,veb,deb,teb,neb,leb,lheb,geb,keb,ngeb,heb,zeb,ceb,seb,yeb
ed,ed,bed,ped,med,fed,ved,ded,ted,ned,led,lhed,ged,ked,nged,hed,zed,ced,sed,yed
ied,ed,bed,ped,med,fed,ved,ded,ted,ned,led,lhed,ged,ked,nged,hed,zed,ced,sed,yed
ng,ng,,,,,,,,,,,,,,,,,,
o,o,bo,po,mo,fo,vo,do,to,no,lo,lho,go,ko,ngo,ho,zo,co,so,yo
oi,oi,boi,poi,moi,foi,voi,doi,toi,noi,loi,lhoi,goi,koi,ngoi,hoi,zoi,coi,soi,yoi
on,on,bon,pon,mon,fon,von,don,ton,non,lon,lhon,gon,kon,ngon,hon,zon,con,son,yon
ong,ong,bong,pong,mong,fong,vong,dong,tong,nong,long,lhong,gong,kong,ngong,hong,zong,cong,song,yong
