,(none),b,p,m,f,v,d,t,n,l,lh,g,k,ng,h,j,c,s,y
a,a,ba,pa,ma,fa,va,da,ta,na,la,lha,ga,ka,nga,ha,ja,ca,sa,ya
ai,ai,bai,pai,mai,fai,vai,dai,tai,nai,lai,lhai,gai,kai,ngai,hai,jai,cai,sai,yai
ao,ao,bao,pao,mao,fao,vao,dao,tao,nao,lao,lhao,gao,kao,ngao,hao,jao,cao,sao,yao
ao,ao,bao,pao,mao,fao,vao,dao,tao,nao,lao,lhao,gao,kao,ngao,hao,jao,cao,sao,yao
am,am,bam,pam,mam,fam,vam,dam,tam,nam,lam,lham,gam,kam,ngam,ham,jam,cam,sam,yam
an,an,ban,pan,man,fan,van,dan,tan,nan,lan,lhan,gan,kan,ngan,han,jan,can,san,yan
ang,ang,bang,pang,mang,fang,vang,dang,tang,nang,lang,lhang,gang,kang,ngang,hang,jang,cang,sang,yang
ab,ab,bab,pab,mab,fab,vab,dab,tab,nab,lab,lhab,gab,kab,ngab,hab,jab,cab,sab,yab
ad,ad,bad,pad,mad,fad,vad,dad,tad,nad,lad,lhad,gad,kad,ngad,had,jad,cad,sad,yad
ag,ag,bag,pag,mag,fag,vag,dag,tag,nag,lag,lhag,gag,kag,ngag,hag,jag,cag,sag,yag
m,m,,,,,,,,,,,,,,,,,,
e,e,be,pe,me,fe,ve,de,te,ne,le,lhe,ge,ke,nge,he,je,ce,se,ye
ei,ei,bei,pei,mei,fei,vei,dei,tei,nei,lei,lhei,gei,kei,ngei,hei,,,,
eu,eu,beu,peu,meu,feu,veu,deu,teu,neu,leu,lheu,geu,keu,ngeu,heu,jeu,ceu,seu,yeu
em,em,bem,pem,mem,fem,vem,dem,tem,nem,lem,lhem,gem,kem,ngem,hem,jem,cem,sem,yem
en,en,ben,pen,men,fen,ven,den,ten,nen,len,lhen,gen,ken,ngen,hen,jen,cen,sen,yen
en,en,ben,pen,men,fen,ven,den,ten,nen,len,lhen,gen,ken,ngen,hen,jen,cen,sen,yen
eb,eb,beb,peb,meb,feb,veb,deb,teb,neb,leb,lheb,geb,keb,ngeb,heb,jeb,ceb,seb,yeb
ed,ed,bed,ped,med,fed,ved,ded,ted,ned,led,lhed,ged,ked,nged,hed,jed,ced,sed,yed
ied,ed,bed,ped,med,fed,ved,ded,ted,ned,led,lhed,ged,ked,nged,hed,jed,ced,sed,yed
ng,ng,,,,,,,,,,,,,,,,,,
o,o,bo,po,mo,fo,vo,do,to,no,lo,lho,go,ko,ngo,ho,jo,co,so,yo
oi,oi,boi,poi,moi,foi,voi,doi,toi,noi,loi,lhoi,goi,koi,ngoi,hoi,joi,coi,soi,yoi
on,on,bon,pon,mon,fon,von,don,ton,non,lon,lhon,gon,kon,ngon,hon,jon,con,son,yon
ong,ong,bong,pong,mong,fong,vong,dong,tong,nong,long,lhong,gong,kong,ngong,hong,jong,cong,song,yong
od,od,bod,pod,mod,fod,vod,dod,tod,nod,lod,lhod,god,kod,ngod,hod,jod,cod,sod,yod
og,og,bog,pog,mog,fog,vog,dog,tog,nog,log,lhog,gog,kog,ngog,hog,jog,cog,sog,yog
i,,,,,,,,,,,,,,,,ji,ci,si,yi
iu,iu,biu,piu,miu,fiu,viu,diu,tiu,niu,liu,lhiu,giu,kiu,ngiu,hiu,jiu,ciu,siu,yiu
im,im,bim,pim,mim,fim,vim,dim,tim,nim,lim,lhim,gim,kim,ngim,him,jim,cim,sim,yim
in,in,bin,pin,min,fin,vin,din,tin,nin,lin,lhin,gin,kin,ngin,hin,jin,cin,sin,yin
ib,ib,bib,pib,mib,fib,vib,dib,tib,nib,lib,lhib,gib,kib,ngib,hib,jib,cib,sib,yib
id,id,bid,pid,mid,fid,vid,did,tid,nid,lid,lhid,gid,kid,ngid,hid,jid,cid,sid,yid
ie,ie,bie,pie,mie,fie,vie,die,tie,nie,lie,lhie,gie,kie,ngie,hie,jie,cie,sie,yie
ieu,ieu,bieu,pieu,mieu,fieu,vieu,dieu,tieu,nieu,lieu,lhieu,gieu,kieu,ngieu,hieu,jieu,cieu,sieu,yieu
iem,iem,biem,piem,miem,fiem,viem,diem,tiem,niem,liem,lhiem,giem,kiem,ngiem,hiem,jiem,ciem,siem,yiem
ieng,ieng,bieng,pieng,mieng,fieng,vieng,dieng,tieng,nieng,lieng,lhieng,gieng,kieng,ngieng,hieng,jieng,cieng,sieng,yieng
ieb,ieb,bieb,pieb,mieb,fieb,vieb,dieb,tieb,nieb,lieb,lhieb,gieb,kieb,ngieb,hieb,jieb,cieb,sieb,yieb
ieg,ieg,bieg,pieg,mieg,fieg,vieg,dieg,tieg,nieg,lieg,lhieg,gieg,kieg,ngieg,hieg,jieg,cieg,sieg,yieg
u,u,bu,pu,mu,fu,vu,du,tu,nu,lu,lhu,gu,ku,ngu,hu,ju,cu,su,yu
ui,ui,bui,pui,mui,fui,vui,dui,tui,nui,lui,lhui,gui,kui,ngui,hui,jui,cui,sui,yui
uo,uo,buo,puo,muo,fuo,vuo,duo,tuo,nuo,luo,lhuo,guo,kuo,nguo,huo,juo,cuo,suo,yuo
un,un,bun,pun,mun,fun,vun,dun,tun,nun,lun,lhun,gun,kun,ngun,hun,jun,cun,sun,yun
ung,ung,bung,pung,mung,fung,vung,dung,tung,nung,lung,lhung,gung,kung,ngung,hung,jung,cung,sung,yung
ud,ud,bud,pud,mud,fud,vud,dud,tud,nud,lud,lhud,gud,kud,ngud,hud,jud,cud,sud,yud
ug,ug,bug,pug,mug,fug,vug,dug,tug,nug,lug,lhug,gug,kug,ngug,hug,jug,cug,sug,yug
