,(none),b,p,m,f,v,d,t,n,l,ɬ,g,k,ŋ,h,dz,ts,s,y
a,a,ba,pa,ma,fa,va,da,ta,na,la,ɬa,ga,ka,ŋa,ha,dza,tsa,sa,ya
ai,ai,bai,pai,mai,fai,vai,dai,tai,nai,lai,ɬai,gai,kai,ŋai,hai,dzai,tsai,sai,yai
au,au,bau,pau,mau,fau,vau,dau,tau,nau,lau,ɬau,gau,kau,ŋau,hau,dzau,tsau,sau,yau
ɔu,ɔu,bɔu,pɔu,mɔu,fɔu,vɔu,dɔu,tɔu,nɔu,lɔu,ɬɔu,gɔu,kɔu,ŋɔu,hɔu,dzɔu,tsɔu,sɔu,yɔu
am,am,bam,pam,mam,fam,vam,dam,tam,nam,lam,ɬam,gam,kam,ŋam,ham,dzam,tsam,sam,yam
an,an,ban,pan,man,fan,van,dan,tan,nan,lan,ɬan,gan,kan,ŋan,han,dzan,tsan,san,yan
aŋ,aŋ,baŋ,paŋ,maŋ,faŋ,vaŋ,daŋ,taŋ,naŋ,laŋ,ɬaŋ,gaŋ,kaŋ,ŋaŋ,haŋ,dzaŋ,tsaŋ,saŋ,yaŋ
ap,ap,bap,pap,map,fap,vap,dap,tap,nap,lap,ɬap,gap,kap,ŋap,hap,dzap,tsap,sap,yap
at,at,bat,pat,mat,fat,vat,dat,tat,nat,lat,ɬat,gat,kat,ŋat,hat,dzat,tsat,sat,yat
ak,ak,bak,pak,mak,fak,vak,dak,tak,nak,lak,ɬak,gak,kak,ŋak,hak,dzak,tsak,sak,yak
m,m,,,,,,,,,,,,,,,,,,
ə,ə,bə,pə,mə,fə,və,də,tə,nə,lə,ɬə,gə,kə,ŋə,hə,dzə,tsə,sə,yə
i,i,bi,pi,mi,fi,vi,di,ti,ni,li,ɬi,gi,ki,ŋi,hi,,,,
əu,əu,bəu,pəu,məu,fəu,vəu,dəu,təu,nəu,ləu,ɬəu,gəu,kəu,ŋəu,həu,dzəu,tsəu,səu,yəu
əm,əm,bəm,pəm,məm,fəm,vəm,dəm,təm,nəm,ləm,ɬəm,gəm,kəm,ŋəm,həm,dzəm,tsəm,səm,yəm
ɛɪn,ɛɪn,bɛɪn,pɛɪn,mɛɪn,fɛɪn,vɛɪn,dɛɪn,tɛɪn,nɛɪn,lɛɪn,ɬɛɪn,gɛɪn,kɛɪn,ŋɛɪn,hɛɪn,dzɛɪn,tsɛɪn,sɛɪn,yɛɪn
ian,ian,bian,pian,nian,fian,vian,dian,tian,nian,lian,ɬian,gian,kian,ŋian,hian,dzian,tsian,sian,yian
əp,əp,bəp,pəp,məp,fəp,vəp,dəp,təp,nəp,ləp,ɬəp,gəp,kəp,ŋəp,həp,dzəp,tsəp,səp,yəp
ɛt,ɛt,bɛt,pɛt,mɛt,fɛt,vɛt,dɛt,tɛt,nɛt,lɛt,ɬɛt,gɛt,kɛt,ŋɛt,hɛt,dzɛt,tsɛt,sɛt,yɛt
iat,iat,biat,piat,miat,fiat,viat,diat,tiat,niat,liat,ɬiat,giat,kiat,ŋiat,hiat,dziat,tsiat,siat,yiat
ŋ,ŋ,,,,,,,,,,,,,,,,,,
ɔ,ɔ,bɔ,pɔ,mɔ,fɔ,vɔ,dɔ,tɔ,nɔ,lɔ,ɬɔ,gɔ,kɔ,ŋɔ,hɔ,dzɔ,tsɔ,sɔ,yɔ
